[0.0 0.0],[0.0 0.0 1.0]
[0.0 0.17453292519943295],[0.17364817766693033 0.0 0.984807753012208]
[0.0 0.3490658503988659],[0.3420201433256687 0.0 0.9396926207859084]
[0.0 0.5235987755982988],[0.49999999999999994 0.0 0.8660254037844387]
[0.0 0.6981317007977318],[0.6427876096865393 0.0 0.766044443118978]
[0.0 0.8726646259971648],[0.766044443118978 0.0 0.6427876096865394]
[0.0 1.0471975511965976],[0.8660254037844386 0.0 0.5000000000000001]
[0.0 1.2217304763960306],[0.9396926207859083 0.0 0.3420201433256688]
[0.0 1.3962634015954636],[0.984807753012208 0.0 0.17364817766693041]
[0.0 1.5707963267948966],[1.0 0.0 6.123233995736766e-17]
[0.0 1.7453292519943295],[0.984807753012208 0.0 -0.1736481776669303]
[0.0 1.9198621771937625],[0.9396926207859084 0.0 -0.3420201433256687]
[0.0 2.0943951023931953],[0.8660254037844387 0.0 -0.4999999999999998]
[0.0 2.2689280275926285],[0.766044443118978 0.0 -0.6427876096865394]
[0.0 2.443460952792061],[0.6427876096865395 0.0 -0.7660444431189779]
[0.0 2.6179938779914944],[0.49999999999999994 0.0 -0.8660254037844387]
[0.0 2.792526803190927],[0.3420201433256689 0.0 -0.9396926207859083]
[0.0 2.9670597283903604],[0.17364817766693028 0.0 -0.984807753012208]
[0.17453292519943295 0.0],[0.0 0.0 1.0]
[0.17453292519943295 0.17453292519943295],[0.17101007166283433 0.030153689607045803 0.984807753012208]
[0.17453292519943295 0.3490658503988659],[0.33682408883346515 0.0593911746138847 0.9396926207859084]
[0.17453292519943295 0.5235987755982988],[0.49240387650610395 0.08682408883346515 0.8660254037844387]
[0.17453292519943295 0.6981317007977318],[0.633022221559489 0.11161889704894963 0.766044443118978]
[0.17453292519943295 0.8726646259971648],[0.7544065067354889 0.133022221559489 0.6427876096865394]
[0.17453292519943295 1.0471975511965976],[0.8528685319524432 0.15038373318043527 0.5000000000000001]
[0.17453292519943295 1.2217304763960306],[0.9254165783983233 0.1631759111665348 0.3420201433256688]
[0.17453292519943295 1.3962634015954636],[0.9698463103929541 0.17101007166283433 0.17364817766693041]
[0.17453292519943295 1.5707963267948966],[0.984807753012208 0.17364817766693033 6.123233995736766e-17]
[0.17453292519943295 1.7453292519943295],[0.9698463103929541 0.17101007166283433 -0.1736481776669303]
[0.17453292519943295 1.9198621771937625],[0.9254165783983234 0.16317591116653482 -0.3420201433256687]
[0.17453292519943295 2.0943951023931953],[0.8528685319524433 0.1503837331804353 -0.4999999999999998]
[0.17453292519943295 2.2689280275926285],[0.7544065067354889 0.133022221559489 -0.6427876096865394]
[0.17453292519943295 2.443460952792061],[0.6330222215594892 0.11161889704894967 -0.7660444431189779]
[0.17453292519943295 2.6179938779914944],[0.49240387650610395 0.08682408883346515 -0.8660254037844387]
[0.17453292519943295 2.792526803190927],[0.3368240888334653 0.059391174613884726 -0.9396926207859083]
[0.17453292519943295 2.9670597283903604],[0.1710100716628343 0.030153689607045793 -0.984807753012208]
[0.3490658503988659 0.0],[0.0 0.0 1.0]
[0.3490658503988659 0.17453292519943295],[0.16317591116653482 0.0593911746138847 0.984807753012208]
[0.3490658503988659 0.3490658503988659],[0.3213938048432697 0.11697777844051097 0.9396926207859084]
[0.3490658503988659 0.5235987755982988],[0.46984631039295416 0.17101007166283433 0.8660254037844387]
[0.3490658503988659 0.6981317007977318],[0.6040227735550536 0.21984631039295416 0.766044443118978]
[0.3490658503988659 0.8726646259971648],[0.7198463103929542 0.2620026302293849 0.6427876096865394]
[0.3490658503988659 1.0471975511965976],[0.8137976813493737 0.2961981327260238 0.5000000000000001]
[0.3490658503988659 1.2217304763960306],[0.883022221559489 0.3213938048432696 0.3420201433256688]
[0.3490658503988659 1.3962634015954636],[0.9254165783983234 0.33682408883346515 0.17364817766693041]
[0.3490658503988659 1.5707963267948966],[0.9396926207859084 0.3420201433256687 6.123233995736766e-17]
[0.3490658503988659 1.7453292519943295],[0.9254165783983234 0.33682408883346515 -0.1736481776669303]
[0.3490658503988659 1.9198621771937625],[0.8830222215594891 0.3213938048432697 -0.3420201433256687]
[0.3490658503988659 2.0943951023931953],[0.8137976813493738 0.29619813272602386 -0.4999999999999998]
[0.3490658503988659 2.2689280275926285],[0.7198463103929542 0.2620026302293849 -0.6427876096865394]
[0.3490658503988659 2.443460952792061],[0.6040227735550538 0.21984631039295424 -0.7660444431189779]
[0.3490658503988659 2.6179938779914944],[0.46984631039295416 0.17101007166283433 -0.8660254037844387]
[0.3490658503988659 2.792526803190927],[0.3213938048432698 0.11697777844051102 -0.9396926207859083]
[0.3490658503988659 2.9670597283903604],[0.16317591116653477 0.05939117461388468 -0.984807753012208]
[0.5235987755982988 0.0],[0.0 0.0 1.0]
[0.5235987755982988 0.17453292519943295],[0.1503837331804353 0.08682408883346515 0.984807753012208]
[0.5235987755982988 0.3490658503988659],[0.29619813272602386 0.17101007166283433 0.9396926207859084]
[0.5235987755982988 0.5235987755982988],[0.4330127018922193 0.24999999999999994 0.8660254037844387]
[0.5235987755982988 0.6981317007977318],[0.5566703992264194 0.32139380484326957 0.766044443118978]
[0.5235987755982988 0.8726646259971648],[0.6634139481689384 0.38302222155948895 0.6427876096865394]
[0.5235987755982988 1.0471975511965976],[0.75 0.43301270189221924 0.5000000000000001]
