[0.0 0.0],[0.0 0.0 1.0]
[0.0 0.08726646259971647],[0.08715574274765817 0.0 0.9961946980917455]
[0.0 0.17453292519943295],[0.17364817766693033 0.0 0.984807753012208]
[0.0 0.2617993877991494],[0.25881904510252074 0.0 0.9659258262890683]
[0.0 0.3490658503988659],[0.3420201433256687 0.0 0.9396926207859084]
[0.0 0.4363323129985824],[0.42261826174069944 0.0 0.9063077870366499]
[0.0 0.5235987755982988],[0.49999999999999994 0.0 0.8660254037844387]
[0.0 0.6108652381980153],[0.573576436351046 0.0 0.8191520442889918]
[0.0 0.6981317007977318],[0.6427876096865393 0.0 0.766044443118978]
[0.0 0.7853981633974483],[0.7071067811865476 0.0 0.7071067811865476]
[0.0 0.8726646259971648],[0.766044443118978 0.0 0.6427876096865394]
[0.0 0.9599310885968813],[0.8191520442889918 0.0 0.573576436351046]
[0.0 1.0471975511965976],[0.8660254037844386 0.0 0.5000000000000001]
[0.0 1.1344640137963142],[0.9063077870366499 0.0 0.42261826174069944]
[0.0 1.2217304763960306],[0.9396926207859083 0.0 0.3420201433256688]
[0.0 1.3089969389957472],[0.9659258262890683 0.0 0.25881904510252074]
[0.0 1.3962634015954636],[0.984807753012208 0.0 0.17364817766693041]
[0.0 1.4835298641951802],[0.9961946980917455 0.0 0.08715574274765814]
[0.0 1.5707963267948966],[1.0 0.0 6.123233995736766e-17]
[0.0 1.6580627893946132],[0.9961946980917455 0.0 -0.08715574274765824]
[0.0 1.7453292519943295],[0.984807753012208 0.0 -0.1736481776669303]
[0.0 1.8325957145940461],[0.9659258262890683 0.0 -0.25881904510252085]
[0.0 1.9198621771937625],[0.9396926207859084 0.0 -0.3420201433256687]
[0.0 2.007128639793479],[0.90630778703665 0.0 -0.42261826174069933]
[0.0 2.0943951023931953],[0.8660254037844387 0.0 -0.4999999999999998]
[0.0 2.181661564992912],[0.8191520442889917 0.0 -0.5735764363510462]
[0.0 2.2689280275926285],[0.766044443118978 0.0 -0.6427876096865394]
[0.0 2.356194490192345],[0.7071067811865476 0.0 -0.7071067811865475]
[0.0 2.443460952792061],[0.6427876096865395 0.0 -0.7660444431189779]
[0.0 2.530727415391778],[0.5735764363510459 0.0 -0.8191520442889919]
[0.0 2.6179938779914944],[0.49999999999999994 0.0 -0.8660254037844387]
[0.0 2.705260340591211],[0.4226182617406995 0.0 -0.9063077870366499]
[0.0 2.792526803190927],[0.3420201433256689 0.0 -0.9396926207859083]
[0.0 2.8797932657906435],[0.258819045102521 0.0 -0.9659258262890682]
[0.0 2.9670597283903604],[0.17364817766693028 0.0 -0.984807753012208]
[0.0 3.0543261909900767],[0.0871557427476582 0.0 -0.9961946980917455]
[0.08726646259971647 0.0],[0.0 0.0 1.0]
[0.08726646259971647 0.08726646259971647],[0.08682408883346517 0.007596123493895969 0.9961946980917455]
[0.08726646259971647 0.17453292519943295],[0.17298739392508944 0.01513443590133862 0.984807753012208]
[0.08726646259971647 0.2617993877991494],[0.25783416049629954 0.022557566113149834 0.9659258262890683]
[0.08726646259971647 0.3490658503988659],[0.34071865342161006 0.029809019626209157 0.9396926207859084]
[0.08726646259971647 0.4363323129985824],[0.4210100716628344 0.03683360850073487 0.9063077870366499]
[0.08726646259971647 0.5235987755982988],[0.4980973490458727 0.043577871373829076 0.8660254037844387]
[0.08726646259971647 0.6108652381980153],[0.5713938048432696 0.0499904803327303 0.8191520442889918]
[0.08726646259971647 0.6981317007977318],[0.6403416087687968 0.05602263155122212 0.766044443118978]
[0.08726646259971647 0.7853981633974483],[0.7044160264027587 0.06162841671621935 0.7071067811865476]
[0.08726646259971647 0.8726646259971648],[0.7631294127377697 0.0667651724177507 0.6427876096865394]
[0.08726646259971647 0.9599310885968813],[0.8160349234517084 0.07139380484326965 0.573576436351046]
[0.08726646259971647 1.0471975511965976],[0.8627299156628209 0.07547908730517332 0.5000000000000001]
[0.08726646259971647 1.1344640137963142],[0.9028590122851735 0.07898992833716563 0.42261826174069944]
[0.08726646259971647 1.2217304763960306],[0.9361168066628591 0.08189960831908932 0.3420201433256688]
[0.08726646259971647 1.3089969389957472],[0.9622501868990583 0.08418598282936919 0.25881904510252074]
[0.08726646259971647 1.3962634015954636],[0.9810602621904069 0.08583165117743129 0.17364817766693041]
