[-0.04045707  0.27206332],[-0.04044604 -0.99918172]
[ 0.00289401 -0.01675184],[ 0.00289401 -0.99999581]
[-0.00453587 -0.03892052],[-0.00453585 -0.99998971]
[-0.00246239  0.0393238 ],[-0.00246238 -0.99999697]
[0.04440326 0.07595466],[ 0.04438867 -0.99901434]
[-0.74431037 -0.007893  ],[-0.67746471 -0.73555528]
[-0.01901571  0.0132393 ],[-0.01901457 -0.99981921]
[-0.00020295 -0.09341338],[-2.02953936e-04 -9.99999979e-01]
[-0.27849932  0.2902136 ],[-0.27491311 -0.96146908]
[-0.13089046  0.02655751],[-0.13051703 -0.99144607]
[0.04057433 0.02492669],[ 0.0405632  -0.99917697]
[0.16220239 1.72221227],[ 0.16149208 -0.98687401]
[-0.00443333  0.052445  ],[-0.00443331 -0.99999017]
[0.00749676 0.00148782],[ 0.00749669 -0.9999719 ]
[0.00904651 0.03853174],[ 0.00904639 -0.99995908]
[-0.1109616  -0.22016987],[-0.11073404 -0.99385008]
[0.00677135 0.00176752],[ 0.0067713  -0.99997707]
[-0.00756662  0.0070699 ],[-0.00756655 -0.99997137]
[-0.01044872 -0.30866775],[-0.01044853 -0.99994541]
[-0.02734085 -0.08933476],[-0.02733744 -0.99962626]
[ 0.37592529 -2.06315011],[ 0.36713337 -0.93016831]
[-0.00838271 -0.15120022],[-0.00838261 -0.99996487]
[ 0.06075558 -0.09708777],[ 0.06071821 -0.99815495]
[ 0.02183648 -0.06652826],[ 0.02183475 -0.99976159]
[0.002544   0.01778374],[ 0.002544   -0.99999676]
[0.01368037 0.00298289],[ 0.01367994 -0.99990643]
[0.00818362 1.20804669],[ 0.00818353 -0.99996651]
[-0.20450057 -0.22704902],[-0.20307816 -0.97916253]
[-0.08459672 -0.14960808],[-0.08449585 -0.99642383]
[ 0.07498278 -1.1331007 ],[ 0.07491254 -0.99719011]
[-0.04670717  0.5846562 ],[-0.04669019 -0.99890942]
[-0.00366843 -0.02518192],[-0.00366842 -0.99999327]
[0.01015917 0.03559224],[ 0.010159  -0.9999484]
[-0.27872521  0.87560766],[-0.27513028 -0.96140695]
[-0.01296004  0.07081349],[-0.01295967 -0.99991602]
[0.19102341 1.0301834 ],[ 0.18986379 -0.98181044]
[0.00138871 0.05919381],[ 0.00138871 -0.99999904]
[0.01912763 0.10194164],[ 0.01912647 -0.99981707]
[-0.00703233  0.00393848],[-0.00703227 -0.99997527]
[-0.20422782 -0.53322286],[-0.20281109 -0.97921788]
[ 0.38532879 -0.79685377],[ 0.37586384 -0.9266749 ]
[-0.46332266 -0.87235062],[-0.44692293 -0.89457246]
[-0.56285629  1.45794365],[-0.53360403 -0.84573444]
[ 0.10120726 -0.0404541 ],[ 0.10103457 -0.99488292]
[ 0.00768337 -0.69565995],[ 0.0076833  -0.99997048]
[ 0.12457055 -0.02016691],[ 0.12424862 -0.99225112]
[ 0.03037212 -0.01161754],[ 0.03036745 -0.9995388 ]
[0.45786413 0.24814468],[ 0.44203325 -0.89699867]
[-0.05061366  0.18946782],[-0.05059205 -0.9987194 ]
[-0.12642078 -0.31091775],[-0.1260843  -0.99201953]
